Date,Product(ID#),Game,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold,Base Price,Sale Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD)
01-05-24,39496,Game 72,United States,North America,4,1,3,5.99,5.99,USD,24.69,5.99,-0.73,17.97
01-05-24,39499,Game 70,Australia,Oceania,3,0,3,14.5,14.5,AUD,28.5384,0,-2.598,25.9404
01-05-24,39499,Game 70,Belgium,Western Europe,1,0,1,9.99,9.99,EUR,10.66,0,-1.846,8.814
01-05-24,39499,Game 70,Brazil,Latin America,4,0,4,19.99,19.99,BRL,15.43,0,0,15.43
01-05-24,39499,Game 70,Canada,North America,5,0,5,10.99,10.99,CAD,44.03,0,-4.081,39.949
01-05-24,39499,Game 70,Switzerland,Western Europe,3,1,2,10,10,CHF,32.88,10.9299,-1.6463,20.3038
01-05-24,39499,Game 70,Czech Republic,Eastern Europe,3,0,3,9.99,9.99,EUR,32.2,0,-5.5762,26.6238
01-05-24,39499,Game 70,Germany,Western Europe,5,1,4,9.99,9.99,EUR,53.3469,10.7,-6.8303,35.8166
01-05-24,39499,Game 70,Spain,Western Europe,1,0,1,9.99,9.99,EUR,10.7,0,-1.853,8.847
01-05-24,39499,Game 70,France,Western Europe,1,0,1,9.99,9.99,EUR,10.66,0,-1.782,8.878
01-05-24,39499,Game 70,United Kingdom,Western Europe,0,1,-1,6.99,1.74,GBP,0,2.17,0.3617,-1.8083
01-05-24,39499,Game 70,United Kingdom,Western Europe,5,0,5,6.99,6.99,GBP,43.75,0,-7.323,36.427
01-05-24,39499,Game 70,Italy,Western Europe,1,0,1,9.99,9.99,EUR,10.7,0,-1.9279,8.7721
01-05-24,39499,Game 70,Korea Republic of,Asia,5,1,4,10500,10500,KRW,37.97,7.57,-2.7504,27.6496
01-05-24,39499,Game 70,Mexico,Latin America,1,0,1,109.99,109.99,MXN,6.4877,0,-0.8948,5.5929
01-05-24,39499,Game 70,Netherlands,Western Europe,0,1,-1,9.99,2.49,EUR,0,2.67,0.4611,-2.2089
01-05-24,39499,Game 70,Netherlands,Western Europe,2,0,2,9.99,9.99,EUR,21.48,0,-3.7198,17.7602
01-05-24,39499,Game 70,Russian Federation,Central Asia,0,1,-1,249,62,RUB,0,0.6601,0.11,-0.5501
01-05-24,39499,Game 70,Russian Federation,Central Asia,1,0,1,249,249,RUB,2.65,0,-0.4417,2.2083
01-05-24,39499,Game 70,Saudi Arabia,Middle East,1,0,1,33,33,SAR,8.79,0,-1.1454,7.6446
01-05-24,39499,Game 70,Singapore,South East Asia,1,0,1,10.5,10.5,SGD,7.71,0,-0.6388,7.0712
01-05-24,39499,Game 70,United States,North America,0,1,-1,9.99,2.49,USD,0,2.49,0,-2.49
01-05-24,39499,Game 70,United States,North America,26,1,25,9.99,9.99,USD,270.66,10.69,-10.22,249.75
01-05-24,39499,Game 70,India,South Asia,1,1,0,369,369,INR,4.42,4.42,0,0
01-05-24,39499,Game 70,United States,North America,2,1,1,9.99,9.99,USD,19.98,9.99,0,9.99
01-05-24,39809,Game 46,United States,North America,1,0,1,6.99,6.99,USD,6.99,0,0,6.99
01-05-24,39815,Game 75,Russian Federation,Central Asia,1,0,1,400,400,RUB,4.2618,0,-0.7103,3.5515
01-05-24,43575,Game 16,France,Western Europe,1,0,1,4.99,4.99,EUR,5.3269,0,-0.886,4.4409
01-05-24,43575,Game 16,Peru,Latin America,1,0,1,14.95,14.95,PEN,3.97,0,0,3.97
01-05-24,43575,Game 16,Russian Federation,Central Asia,1,0,1,129,129,RUB,1.3734,0,-0.2289,1.1445
01-05-24,52502,Game 63,Germany,Western Europe,1,0,1,6.99,6.99,EUR,7.46,0,-1.1953,6.2647
01-05-24,52502,Game 63,France,Western Europe,1,0,1,6.99,6.99,EUR,7.47,0,-1.2503,6.2197
01-05-24,52508,Game 76,Canada,North America,1,0,1,7.79,7.79,CAD,6.41,0,-0.7357,5.6743
01-05-24,52508,Game 76,Denmark,Western Europe,1,0,1,6.99,6.99,EUR,7.47,0,-1.4961,5.9739
01-05-24,52508,Game 76,United States,North America,3,0,3,6.99,6.99,USD,22.41,0,-1.44,20.97
01-05-24,52508,Game 76,Uruguay,Latin America,1,0,1,165,165,UYU,4.3,0,0,4.3
01-05-24,52622,Game 74,Philippines,South East Asia,1,0,1,419.95,419.95,PHP,7.3,0,0,7.3
01-05-24,52825,Game 69,United States,North America,1,0,1,6.99,6.99,USD,7.57,0,-0.58,6.99
01-05-24,52834,Game 68,Spain,Western Europe,1,0,1,6.99,6.99,EUR,7.47,0,-1.2931,6.1769
01-05-24,53031,Game 42,Canada,North America,1,0,1,7.79,7.79,CAD,5.9358,0,-0.283,5.6528
01-05-24,53031,Game 42,Hungary,Eastern Europe,1,0,1,6.99,6.99,EUR,7.46,0,-1.5902,5.8698
01-05-24,53238,Game 79,United States,North America,2,0,2,6.99,6.99,USD,14.86,0,-0.88,13.98
01-05-24,62999,Game 28,France,Western Europe,1,0,1,5.99,5.99,EUR,6.39,0,-1.0668,5.3232
01-05-24,62999,Game 28,United Kingdom,Western Europe,1,0,1,4.79,4.79,GBP,5.98,0,-0.9987,4.9813
01-05-24,62999,Game 28,Norway,Western Europe,1,0,1,40,40,NOK,3.61,0,-0.722,2.888
01-05-24,62999,Game 28,Poland,Eastern Europe,1,0,1,21.99,21.99,PLN,5.42,0,-1.013,4.407
01-05-24,64099,Game 22,Korea Republic of,Asia,1,0,1,6500,6500,KRW,4.7217,0,-0.4286,4.2931
01-05-24,64102,Game 55,France,Western Europe,0,1,-1,5.99,5.99,EUR,0,6.39,1.0668,-5.3232
01-05-24,64102,Game 55,United Kingdom,Western Europe,1,0,1,4.79,4.79,GBP,5.98,0,-0.9987,4.9813
01-05-24,64338,Game 44,Australia,Oceania,1,0,1,9.95,9.95,AUD,6.5316,0,-0.5908,5.9408
01-05-24,64338,Game 44,Canada,North America,1,0,1,7.79,7.79,CAD,6.5326,0,-0.853,5.6796
01-05-24,73884,Game 23,Korea Republic of,Asia,1,0,1,6500,6500,KRW,4.7217,0,-0.4286,4.2931
01-05-24,73884,Game 23,United States,North America,1,0,1,5.99,5.99,USD,6.47,0,-0.48,5.99
01-05-24,87820,Game 20,United States,North America,1,0,1,4.99,4.99,USD,5.4,0,-0.41,4.99
01-05-24,99790,Game 74,United States,North America,1,0,1,4.99,4.99,USD,5.29,0,-0.3,4.99
01-05-24,119911,Game 41,United States,North America,1,0,1,9.99,9.99,USD,10.59,0,-0.6,9.99
01-05-24,119911,Game 41,South Africa,Africa,1,1,0,79,79,ZAR,4.2,4.2,0,0
01-05-24,139866,Game 73,Germany,Western Europe,1,0,1,14.99,14.99,EUR,16,0,-2.551,13.449
01-05-24,139866,Game 73,Thailand,South East Asia,1,0,1,315,315,THB,8.51,0,-0.5568,7.9532
01-05-24,139867,Game 74,France,Western Europe,0,1,-1,19.99,19.99,EUR,0,21.34,3.5549,-17.7851
01-05-24,139867,Game 74,United States,North America,1,0,1,19.99,19.99,USD,20.74,0,-0.75,19.99
01-05-24,195523,Game 71,Brazil,Latin America,1,0,1,36.99,36.99,BRL,7.14,0,0,7.14
01-05-24,195523,Game 71,Canada,North America,3,0,3,21.99,21.99,CAD,54.18,0,-6.2349,47.9451
01-05-24,195523,Game 71,Chile,Latin America,1,0,1,9500,9500,CLP,9.93,0,-1.5857,8.3443
01-05-24,195523,Game 71,China,Asia,2,0,2,68,68,CNY,18.7627,0,0,18.7627
01-05-24,195523,Game 71,Germany,Western Europe,2,0,2,19.99,19.99,EUR,42.68,0,-6.8108,35.8692
01-05-24,195523,Game 71,Spain,Western Europe,2,0,2,19.99,19.99,EUR,42.7,0,-7.4122,35.2878
01-05-24,195523,Game 71,United Kingdom,Western Europe,1,0,1,14.99,14.99,GBP,18.85,0,-3.1438,15.7062
01-05-24,195523,Game 71,Indonesia,South East Asia,1,0,1,135999,135999,IDR,8.46,0,-0.8384,7.6216
01-05-24,195523,Game 71,India,South Asia,1,0,1,565,565,INR,6.76,0,-1.029,5.731
01-05-24,195523,Game 71,Mexico,Latin America,2,0,2,179.99,179.99,MXN,21.263,0,-2.9332,18.3298
01-05-24,195523,Game 71,Netherlands,Western Europe,1,0,1,19.99,19.99,EUR,21.49,0,-3.7304,17.7596
01-05-24,195523,Game 71,Thailand,South East Asia,1,0,1,369,369,THB,10,0,-0.6542,9.3458
01-05-24,195523,Game 71,United States,North America,0,1,-1,19.99,4.99,USD,0,5.3,0.31,-4.99
01-05-24,195523,Game 71,United States,North America,12,0,12,19.99,19.99,USD,253.7,0,-13.82,239.88
01-05-24,195523,Game 71,Australia,Oceania,1,0,1,28.95,28.95,AUD,18.75,0,-1.7034,17.0466
01-05-24,195523,Game 71,Switzerland,Western Europe,1,0,1,19,19,CHF,20.62,0,-1.5411,19.0789
01-05-24,195523,Game 71,Poland,Eastern Europe,1,0,1,74.99,74.99,PLN,18.47,0,-3.4531,15.0169
01-05-24,195523,Game 71,United States,North America,1,1,0,19.99,19.99,USD,21.39,21.39,0,0
01-05-24,197116,Game 90,Germany,Western Europe,1,0,1,19.99,19.99,EUR,21.35,0,-3.407,17.943
01-05-24,197116,Game 90,United States,North America,0,1,-1,19.99,19.99,USD,0,19.99,0,-19.99
01-05-24,334595,Game 17,Brazil,Latin America,1,0,1,20.69,20.69,BRL,3.98,0,0,3.98
01-05-24,334595,Game 17,Canada,North America,1,0,1,11.49,11.49,CAD,9.46,0,-1.0859,8.3741
01-05-24,334595,Game 17,China,Asia,1,1,0,37,37,CNY,5.1,5.1,0,0
01-05-24,334595,Game 17,Germany,Western Europe,1,0,1,8.19,8.19,EUR,8.74,0,-1.398,7.342
01-05-24,334595,Game 17,France,Western Europe,1,0,1,8.19,8.19,EUR,8.743,0,-1.4625,7.2805
01-05-24,334595,Game 17,United Kingdom,Western Europe,3,0,3,7.19,7.19,GBP,26.96,0,-4.4996,22.4604
01-05-24,334595,Game 17,Lithuania,Eastern Europe,1,0,1,8.19,8.19,EUR,8.74,0,-1.5154,7.2246
01-05-24,334595,Game 17,Poland,Eastern Europe,3,0,3,35.99,35.99,PLN,26.89,0,-5.0283,21.8617
01-05-24,334595,Game 17,Russian Federation,Central Asia,2,0,2,259,259,RUB,5.52,0,-0.92,4.6
01-05-24,334595,Game 17,United States,North America,13,0,13,9.99,9.99,USD,134.07,0,-4.2,129.87
01-05-24,334595,Game 17,Ukraine,Central Asia,1,0,1,169,169,UAH,4.25,0,-0.7041,3.5459
01-05-24,334595,Game 17,United States,North America,1,0,1,9.99,9.99,USD,10.59,0,-0.6,9.99
01-05-24,432104,Game 43,Canada,North America,1,0,1,5.69,5.69,CAD,4.7682,0,-0.6197,4.1485
01-05-24,607243,Game 6,United States,North America,1,0,1,9.99,9.99,USD,10.71,0,-0.72,9.99
01-05-24,613830,Game 19,United States,North America,1,0,1,9.99,9.99,USD,10.81,0,-0.82,9.99
01-05-24,686204,Game 45,Uzbekistan,Central Asia,1,0,1,6.29,6.29,USD,6.29,0,0,6.29
01-05-24,691449,Game 7,Canada,North America,1,0,1,45.49,45.49,CAD,36.97,0,-3.9618,33.0082
01-05-24,729344,Game 96,United States,North America,1,0,1,9.99,9.99,USD,9.99,0,0,9.99
01-05-24,729344,Game 96,United States,North America,1,0,1,9.99,9.99,USD,9.99,0,0,9.99
01-05-24,732502,Game 13,Argentina,Latin America,1,0,1,4.99,4.99,USD,4.99,0,0,4.99
01-05-24,732502,Game 13,Germany,Western Europe,1,0,1,8.79,8.79,EUR,9.38,0,-1.494,7.886
01-05-24,762793,Game 62,United States,North America,1,0,1,24.99,24.99,USD,26.55,0,-1.56,24.99
01-05-24,848249,Game 64,United Kingdom,Western Europe,1,0,1,20.99,20.99,GBP,26.21,0,-4.3704,21.8396
01-05-24,854511,Game 60,United Kingdom,Western Europe,1,0,1,24.99,24.99,GBP,31.19,0,-5.2046,25.9854
01-05-24,854511,Game 60,United States,North America,3,0,3,29.99,29.99,USD,96.41,0,-6.44,89.97
01-05-24,940888,Game 14,United States,North America,1,0,1,9.99,9.99,USD,10.62,0,-0.63,9.99
01-05-24,988928,Game 97,Australia,Oceania,0,1,-1,10.25,10.25,AUD,0,6.65,0.6034,-6.0466
01-05-24,988928,Game 97,Belgium,Western Europe,1,0,1,6.89,6.89,EUR,7.35,0,-1.2801,6.0699
01-05-24,988928,Game 97,France,Western Europe,3,0,3,6.89,6.89,EUR,22.0667,0,-3.6831,18.3836
01-05-24,988928,Game 97,New Zealand,Oceania,1,0,1,10.49,10.49,NZD,6.31,0,-0.8241,5.4859
01-05-24,988928,Game 97,United States,North America,1,0,1,6.99,6.99,USD,7.37,0,-0.38,6.99
01-05-24,988934,Game 48,United States,North America,1,0,1,9.99,9.99,USD,10.59,0,-0.6,9.99
01-05-24,988937,Game 47,Austria,Western Europe,1,0,1,9.75,9.75,EUR,10.41,0,-1.7403,8.6697
01-05-24,988937,Game 47,United States,North America,1,0,1,9.99,9.99,USD,10.73,0,-0.74,9.99
01-05-24,39496,Game 72,Brazil,Latin America,1,0,1,11.99,9.59,BRL,1.8443,0,0,1.8443
01-05-24,39496,Game 72,United Kingdom,Western Europe,1,0,1,4.79,3.83,GBP,4.8168,0,-0.8049,4.0119
01-05-24,39496,Game 72,Mexico,Latin America,1,0,1,65.99,52.79,MXN,3.1177,0,-0.4299,2.6878
01-05-24,39496,Game 72,United States,North America,2,0,2,5.99,4.79,USD,9.92,0,-0.34,9.58
01-05-24,39499,Game 70,Brazil,Latin America,1,0,1,19.99,15.99,BRL,3.0752,0,0,3.0752
01-05-24,39499,Game 70,United Kingdom,Western Europe,1,0,1,6.99,5.59,GBP,7.0304,0,-1.1696,5.8608
01-05-24,39499,Game 70,Mexico,Latin America,1,0,1,109.99,87.99,MXN,5.1966,0,-0.717,4.4796
01-05-24,39499,Game 70,United States,North America,2,0,2,9.99,7.99,USD,16.54,0,-0.56,15.98
01-05-24,99790,Game 74,Brazil,Latin America,1,0,1,10.49,8.39,BRL,1.6135,0,0,1.6135
01-05-24,99790,Game 74,Spain,Western Europe,1,0,1,4.99,3.99,EUR,4.2886,0,-0.7416,3.547
01-05-24,99790,Game 74,United Kingdom,Western Europe,1,0,1,3,2.4,GBP,3.0184,0,-0.5031,2.5153
01-05-24,99790,Game 74,Mexico,Latin America,1,0,1,55.99,44.79,MXN,2.6452,0,-0.365,2.2802
01-05-24,99790,Game 74,United States,North America,3,0,3,4.99,3.99,USD,12.25,0,-0.28,11.97
01-05-24,139866,Game 73,Brazil,Latin America,1,0,1,27.99,22.39,BRL,4.3061,0,0,4.3061
01-05-24,139866,Game 73,Spain,Western Europe,1,0,1,14.99,11.99,EUR,12.8871,0,-2.2356,10.6515
01-05-24,139866,Game 73,United Kingdom,Western Europe,1,0,1,10.99,8.79,GBP,11.0549,0,-1.8488,9.2061
01-05-24,139866,Game 73,Mexico,Latin America,1,0,1,149.99,119.99,MXN,7.0864,0,-0.9774,6.109
01-05-24,139866,Game 73,United States,North America,3,0,3,14.99,11.99,USD,36.81,0,-0.84,35.97
01-05-24,195523,Game 71,Brazil,Latin America,1,0,1,36.99,29.59,BRL,5.6908,0,0,5.6908
01-05-24,195523,Game 71,Spain,Western Europe,1,0,1,19.99,15.99,EUR,17.1865,0,-2.988,14.1985
01-05-24,195523,Game 71,United Kingdom,Western Europe,1,0,1,14.99,11.99,GBP,15.0794,0,-2.5153,12.5641
01-05-24,195523,Game 71,Mexico,Latin America,1,0,1,179.99,143.99,MXN,8.5039,0,-1.1729,7.331
01-05-24,195523,Game 71,United States,North America,3,0,3,19.99,15.99,USD,49.09,0,-1.12,47.97
01-05-24,357157,Game 66,United States,North America,1,0,1,6.99,6.29,USD,6.29,0,0,6.29
01-05-24,804427,Game 63,China,Asia,1,0,1,76,68.4,CNY,9.4346,0,0,9.4346
01-05-24,804427,Game 63,United States,North America,1,0,1,19.99,17.99,USD,17.99,0,0,17.99
01-05-24,197116,Game 90,United Kingdom,Western Europe,1,0,1,15.49,13.17,GBP,16.562,0,-2.7666,13.7954
01-05-24,724124,Game 5,United Kingdom,Western Europe,1,0,1,16.75,14.24,GBP,17.9075,0,-2.9804,14.9271
01-05-24,39496,Game 72,Australia,Oceania,1,0,1,8.5,6.8,AUD,4.431,0,-0.404,4.027
01-05-24,39496,Game 72,Brazil,Latin America,1,2,-1,11.99,9.59,BRL,1.8445,3.6965,0,-1.852
01-05-24,39496,Game 72,Canada,North America,6,1,5,6.49,5.19,CAD,25.4786,4.2531,-2.3045,18.921
01-05-24,39496,Game 72,Germany,Western Europe,4,0,4,5.99,4.79,EUR,20.4678,0,-3.2474,17.2204
01-05-24,39496,Game 72,France,Western Europe,1,0,1,5.99,4.79,EUR,5.1648,0,-0.8626,4.3022
01-05-24,39496,Game 72,United Kingdom,Western Europe,1,0,1,4.79,3.83,GBP,4.7814,0,-0.799,3.9824
01-05-24,39496,Game 72,Korea Republic of,Asia,1,0,1,6500,5200,KRW,3.7776,0,-0.3414,3.4362
01-05-24,39496,Game 72,Mexico,Latin America,1,0,1,65.99,52.79,MXN,3.1237,0,-0.4308,2.6929
01-05-24,39496,Game 72,Netherlands,Western Europe,2,0,2,5.99,4.79,EUR,10.2322,0,-1.773,8.4592
01-05-24,39496,Game 72,Sweden,Western Europe,1,0,1,5.99,4.79,EUR,5.1161,0,-1.0254,4.0907
01-05-24,39496,Game 72,United States,North America,18,0,18,5.99,4.79,USD,90.09,0,-3.87,86.22
01-05-24,39499,Game 70,Australia,Oceania,1,0,1,14.5,11.6,AUD,7.5589,0,-0.6842,6.8747
01-05-24,39499,Game 70,Brazil,Latin America,1,2,-1,19.99,15.99,BRL,3.0754,6.1634,0,-3.088
01-05-24,39499,Game 70,Canada,North America,6,1,5,10.99,8.79,CAD,43.1613,7.207,-3.9089,32.0454
01-05-24,39499,Game 70,Germany,Western Europe,4,0,4,9.99,7.99,EUR,34.1418,0,-5.4694,28.6724
01-05-24,39499,Game 70,France,Western Europe,1,0,1,9.99,7.99,EUR,8.6152,0,-1.4341,7.1811
01-05-24,39499,Game 70,United Kingdom,Western Europe,1,0,1,6.99,5.59,GBP,6.9786,0,-1.161,5.8176
01-05-24,39499,Game 70,Korea Republic of,Asia,1,0,1,10500,8400,KRW,6.1023,0,-0.5521,5.5502
01-05-24,39499,Game 70,Mexico,Latin America,1,0,1,109.99,87.99,MXN,5.2064,0,-0.7183,4.4881
01-05-24,39499,Game 70,Netherlands,Western Europe,2,0,2,9.99,7.99,EUR,17.0676,0,-2.9692,14.0984
01-05-24,39499,Game 70,Sweden,Western Europe,1,0,1,9.99,7.99,EUR,8.5339,0,-1.7089,6.825
01-05-24,39499,Game 70,United States,North America,17,0,17,9.99,7.99,USD,142.27,0,-6.44,135.83
01-05-24,39499,Game 70,United States,North America,1,0,1,9.99,7.99,USD,7.99,0,0,7.99
02-05-24,6829,Game 86,Netherlands,Western Europe,1,0,1,4.99,4.99,EUR,5.36,0,-0.9345,4.4255
02-05-24,6829,Game 86,Sweden,Western Europe,1,0,1,4.99,4.99,EUR,5.36,0,-1.0741,4.2859
02-05-24,34667,Game 93,Italy,Western Europe,1,0,1,9.99,9.99,EUR,10.74,0,-1.9351,8.8049
02-05-24,39496,Game 72,Australia,Oceania,3,0,3,8.5,8.5,AUD,16.6875,0,-1.5118,15.1757
02-05-24,39496,Game 72,Brazil,Latin America,6,0,6,11.99,11.99,BRL,14.045,0,0,14.045
02-05-24,39496,Game 72,Canada,North America,9,0,9,6.49,6.49,CAD,47.6734,0,-5.1269,42.5465
02-05-24,39496,Game 72,China,Asia,2,0,2,25,25,CNY,6.9,0,0,6.9
02-05-24,39496,Game 72,Germany,Western Europe,5,0,5,5.99,5.99,EUR,32.0368,0,-5.1344,26.9024
02-05-24,39496,Game 72,Denmark,Western Europe,1,0,1,5.99,5.99,EUR,6.44,0,-1.2902,5.1498
02-05-24,39496,Game 72,France,Western Europe,1,0,1,5.99,5.99,EUR,6.4,0,-1.0684,5.3316
02-05-24,39496,Game 72,United Kingdom,Western Europe,4,0,4,4.79,4.79,GBP,23.92,0,-3.9948,19.9252
02-05-24,39496,Game 72,Indonesia,South East Asia,1,0,1,55999,55999,IDR,3.46,0,-0.3429,3.1171
02-05-24,39496,Game 72,Japan,Asia,1,0,1,598,598,JPY,3.87,0,-0.3495,3.5205
02-05-24,39496,Game 72,Malta,Western Europe,1,0,1,5.99,5.99,EUR,6.4,0,-0.9723,5.4277
02-05-24,39496,Game 72,Netherlands,Western Europe,5,0,5,5.99,5.99,EUR,32.22,0,-5.5941,26.6259
02-05-24,39496,Game 72,New Zealand,Oceania,1,0,1,7.39,7.39,NZD,4.35,0,-0.5651,3.7849
02-05-24,39496,Game 72,Portugal,Western Europe,1,0,1,5.99,5.99,EUR,6.39,0,-1.1948,5.1952
02-05-24,39496,Game 72,Serbia,Eastern Europe,1,0,1,5.99,5.99,EUR,6.44,0,-1.0751,5.3649
02-05-24,39496,Game 72,Sweden,Western Europe,1,0,1,5.99,5.99,EUR,6.3955,0,-1.2812,5.1143
02-05-24,39496,Game 72,Taiwan,Asia,1,0,1,178,178,TWD,5.51,0,-0.2476,5.2624
02-05-24,39496,Game 72,United States,North America,26,1,25,5.99,5.99,USD,164.12,6.47,-7.9,149.75
02-05-24,39496,Game 72,Albania,Eastern Europe,1,0,1,5.99,5.99,EUR,6.44,0,0,6.44
02-05-24,39496,Game 72,Germany,Western Europe,1,1,0,5.99,5.99,EUR,6.39,6.39,0,0
02-05-24,39496,Game 72,India,South Asia,1,0,1,299,299,INR,3.5809,0,-0.5509,3.03
02-05-24,39496,Game 72,United States,North America,2,0,2,5.99,5.99,USD,12.41,0,-0.43,11.98
02-05-24,39499,Game 70,Austria,Western Europe,1,0,1,9.99,9.99,EUR,10.74,0,-1.7954,8.9446
02-05-24,39499,Game 70,Belgium,Western Europe,1,0,1,9.99,9.99,EUR,10.67,0,-1.8478,8.8222
02-05-24,39499,Game 70,Brazil,Latin America,5,0,5,19.99,19.99,BRL,19.36,0,0,19.36
02-05-24,39499,Game 70,Canada,North America,0,1,-1,10.99,2.74,CAD,0,2.2901,0.2981,-1.992
02-05-24,39499,Game 70,Canada,North America,2,0,2,10.99,10.99,CAD,18.29,0,-2.248,16.042
02-05-24,39499,Game 70,China,Asia,1,1,0,36,36,CNY,4.97,4.97,0,0
02-05-24,39499,Game 70,Germany,Western Europe,6,0,6,9.99,9.99,EUR,64.09,0,-10.2646,53.8254
02-05-24,39499,Game 70,United Kingdom,Western Europe,5,0,5,6.99,6.99,GBP,43.68,0,-7.3111,36.3689
02-05-24,39499,Game 70,India,South Asia,1,1,0,369,369,INR,4.41,4.41,0,0
02-05-24,39499,Game 70,Japan,Asia,1,0,1,980,980,JPY,6.21,0,-0.564,5.646
02-05-24,39499,Game 70,Korea Republic of,Asia,4,1,3,10500,10500,KRW,30.66,7.57,-2.0891,21.0009
02-05-24,39499,Game 70,Netherlands,Western Europe,6,0,6,9.99,9.99,EUR,64.46,0,-11.1629,53.2971
02-05-24,39499,Game 70,Norway,Western Europe,1,0,1,70,70,NOK,6.42,0,-1.284,5.136
02-05-24,39499,Game 70,Poland,Eastern Europe,2,0,2,37.99,37.99,PLN,18.7843,0,-3.5106,15.2737
02-05-24,39499,Game 70,United States,North America,23,2,21,9.99,9.99,USD,240.4,21.32,-9.29,209.79
02-05-24,39499,Game 70,Viet Nam,South East Asia,1,0,1,120000,120000,VND,4.71,0,0,4.71
02-05-24,39499,Game 70,United States,North America,2,0,2,9.99,9.99,USD,20.58,0,-0.6,19.98
02-05-24,39499,Game 70,Brazil,Latin America,1,0,1,19.99,19.99,BRL,3.84,0,0,3.84
02-05-24,39815,Game 75,Brazil,Latin America,1,0,1,13.99,13.99,BRL,2.69,0,0,2.69
02-05-24,39815,Game 75,Germany,Western Europe,1,0,1,6.99,6.99,EUR,7.47,0,-1.1969,6.2731
02-05-24,39815,Game 75,United States,North America,1,0,1,6.99,6.99,USD,6.99,0,0,6.99
02-05-24,43575,Game 16,Italy,Western Europe,1,0,1,4.99,4.99,EUR,5.36,0,-0.9667,4.3933
02-05-24,43575,Game 16,Poland,Eastern Europe,1,0,1,18.99,18.99,PLN,4.71,0,-0.8805,3.8295
02-05-24,43575,Game 16,United States,North America,1,0,1,4.99,4.99,USD,4.99,0,0,4.99
02-05-24,52502,Game 63,Austria,Western Europe,1,0,1,6.99,6.99,EUR,7.51,0,-1.257,6.253
02-05-24,52502,Game 63,Germany,Western Europe,1,0,1,6.99,6.99,EUR,7.51,0,-1.2033,6.3067
02-05-24,52505,Game 77,Germany,Western Europe,1,0,1,6.99,6.99,EUR,7.47,0,-1.1969,6.2731
02-05-24,52508,Game 76,Australia,Oceania,1,0,1,9.95,9.95,AUD,6.5679,0,-0.5941,5.9738
02-05-24,52508,Game 76,Canada,North America,1,0,1,7.79,7.79,CAD,6.42,0,-0.7368,5.6832
02-05-24,52508,Game 76,Switzerland,Western Europe,1,0,1,7,7,CHF,7.66,0,-0.569,7.091
02-05-24,52508,Game 76,Germany,Western Europe,2,0,2,6.99,6.99,EUR,14.94,0,-2.3938,12.5462
02-05-24,52508,Game 76,Denmark,Western Europe,1,0,1,6.99,6.99,EUR,7.51,0,-1.5041,6.0059
02-05-24,52508,Game 76,United Kingdom,Western Europe,1,0,1,4.99,4.99,GBP,6.23,0,-1.0363,5.1937
